
- Welcome to Smart Strategy Generator - 
Stint lenght = 0:41:33
Refuel rate = 0.25seconds/L 


Stint #1
Lap : 1 | Time left : 11:58:39 | Fuel left : 72.5
Lap : 439 | Time left : 1:52:39 | Fuel left : 27.5
Lap : 440 | Time left : 1:51:18 | Fuel left : 25.0
Lap : 441 | Time left : 1:49:57 | Fuel left : 22.5
Lap : 442 | Time left : 1:48:36 | Fuel left : 20.0
Lap : 443 | Time left : 1:47:15 | Fuel left : 17.5
Lap : 444 | Time left : 1:45:54 | Fuel left : 15.0
Lap : 445 | Time left : 1:44:33 | Fuel left : 12.5
Lap : 446 | Time left : 1:43:12 | Fuel left : 10.0
Lap : 447 | Time left : 1:41:51 | Fuel left : 7.5
Lap : 448 | Time left : 1:40:30 | Fuel left : 5.0
Lap : 449 | Time left : 1:39:09 | Fuel left : 2.5
PIT THIS LAP | Lap : 450 | Time left : 1:36:45 | Fuel wasted : 0.0

Stint #16
Lap : 451 | Time left : 1:35:24 | Fuel left : 72.5
Lap : 452 | Time left : 1:34:03 | Fuel left : 70.0
Lap : 453 | Time left : 1:32:42 | Fuel left : 67.5
Lap : 454 | Time left : 1:31:21 | Fuel left : 65.0
Lap : 455 | Time left : 1:30:00 | Fuel left : 62.5
Lap : 456 | Time left : 1:28:39 | Fuel left : 60.0
Lap : 457 | Time left : 1:27:18 | Fuel left : 57.5
Lap : 458 | Time left : 1:25:57 | Fuel left : 55.0
Lap : 459 | Time left : 1:24:36 | Fuel left : 52.5
Lap : 460 | Time left : 1:23:15 | Fuel left : 50.0
Lap : 461 | Time left : 1:21:54 | Fuel left : 47.5
Lap : 462 | Time left : 1:20:33 | Fuel left : 45.0
Lap : 463 | Time left : 1:19:12 | Fuel left : 42.5
Lap : 464 | Time left : 1:17:51 | Fuel left : 40.0
Lap : 465 | Time left : 1:16:30 | Fuel left : 37.5
Lap : 466 | Time left : 1:15:09 | Fuel left : 35.0
Lap : 467 | Time left : 1:13:48 | Fuel left : 32.5
Lap : 468 | Time left : 1:12:27 | Fuel left : 30.0
Lap : 469 | Time left : 1:11:06 | Fuel left : 27.5
Lap : 470 | Time left : 1:09:45 | Fuel left : 25.0
Lap : 471 | Time left : 1:08:24 | Fuel left : 22.5
Lap : 472 | Time left : 1:07:03 | Fuel left : 20.0
Lap : 473 | Time left : 1:05:42 | Fuel left : 17.5
Lap : 474 | Time left : 1:04:21 | Fuel left : 15.0
Lap : 475 | Time left : 1:03:00 | Fuel left : 12.5
Lap : 476 | Time left : 1:01:39 | Fuel left : 10.0
Lap : 477 | Time left : 1:00:18 | Fuel left : 7.5
Lap : 478 | Time left : 0:58:57 | Fuel left : 5.0
Lap : 479 | Time left : 0:57:36 | Fuel left : 2.5
PIT THIS LAP | Lap : 480 | Time left : 0:55:12 | Fuel wasted : 0.0

Stint #17
Lap : 481 | Time left : 0:53:51 | Fuel left : 72.5
Lap : 482 | Time left : 0:52:30 | Fuel left : 70.0
Lap : 483 | Time left : 0:51:09 | Fuel left : 67.5
Lap : 484 | Time left : 0:49:48 | Fuel left : 65.0
Lap : 485 | Time left : 0:48:27 | Fuel left : 62.5
Lap : 486 | Time left : 0:47:06 | Fuel left : 60.0
Lap : 487 | Time left : 0:45:45 | Fuel left : 57.5
Lap : 488 | Time left : 0:44:24 | Fuel left : 55.0
Lap : 489 | Time left : 0:43:03 | Fuel left : 52.5
Lap : 490 | Time left : 0:41:42 | Fuel left : 50.0
Lap : 491 | Time left : 0:40:21 | Fuel left : 47.5
Lap : 492 | Time left : 0:39:00 | Fuel left : 45.0
Lap : 493 | Time left : 0:37:39 | Fuel left : 42.5
Lap : 494 | Time left : 0:36:18 | Fuel left : 40.0
Lap : 495 | Time left : 0:34:57 | Fuel left : 37.5
Lap : 496 | Time left : 0:33:36 | Fuel left : 35.0
Lap : 497 | Time left : 0:32:15 | Fuel left : 32.5
Lap : 498 | Time left : 0:30:54 | Fuel left : 30.0
Lap : 499 | Time left : 0:29:33 | Fuel left : 27.5
Lap : 500 | Time left : 0:28:12 | Fuel left : 25.0
Lap : 501 | Time left : 0:26:51 | Fuel left : 22.5
Lap : 502 | Time left : 0:25:30 | Fuel left : 20.0
Lap : 503 | Time left : 0:24:09 | Fuel left : 17.5
Lap : 504 | Time left : 0:22:48 | Fuel left : 15.0
Lap : 505 | Time left : 0:21:27 | Fuel left : 12.5
Lap : 506 | Time left : 0:20:06 | Fuel left : 10.0
Lap : 507 | Time left : 0:18:45 | Fuel left : 7.5
Lap : 508 | Time left : 0:17:24 | Fuel left : 5.0
Lap : 509 | Time left : 0:16:03 | Fuel left : 2.5
PIT THIS LAP | Lap : 510 | Time left : 0:13:39 | Fuel wasted : 0.0
Stint #18
Lap : 511| Time left :0:11:52| Fuel left : 25.0
Lap : 512| Time left :0:10:31| Fuel left : 22.5
Lap : 513| Time left :0:09:10| Fuel left : 20.0
Lap : 514| Time left :0:07:49| Fuel left : 17.5
Lap : 515| Time left :0:06:28| Fuel left : 15.0
Lap : 516| Time left :0:05:07| Fuel left : 12.5
Lap : 517| Time left :0:03:46| Fuel left : 10.0
Lap : 518| Time left :0:02:25| Fuel left : 7.5
Lap : 519| Time left :0:01:04| Fuel left : 5.0
Lap : 520| Fuel left : 2.5| Race Finished!
